files=97 lines=4275

| feature | count | files | nests | example |
| backtick identifier | 0 | 0 | 0:  |  |
| struct literal {'a':..} | 4 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/90-lodestar-indexers.sql:359 |
| list literal [..] | 35 | 9 | 5: arcaidia-nest, graph-allocations-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/10-vault_policy.sql:12 |
| lambda x -> ... | 0 | 0 | 0:  |  |
| method chaining .func( | 0 | 0 | 0:  |  |
| trailing comma before FROM/) | 0 | 0 | 0:  |  |
| E'..' escape string | 0 | 0 | 0:  |  |
| main. prefix | 0 | 0 | 0:  |  |
| nest. prefix | 16 | 1 | 1: qos-reo-nest-typed | qos-reo-nest-typed/checks/parity-2026-09-07.sql:71 |
| hex literal 0x | 69 | 9 | 6: arcaidia-nest, graph-allocations-nest, nuthatch/obib-case2, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/85-protocol_state.sql:17 |
| numeric literal >= 1e18 / big int | 22 | 5 | 2: graph-allocations-nest, perpl-nest | graph-allocations-nest/views/30-port-queue.sql:13 |
| exponent literal 1e18 style | 7 | 1 | 1: perpl-nest | perpl-nest/views/10-perpl.sql:64 |
| CAST( | 575 | 36 | 12: arcaidia-nest, epoch-block-oracle-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, nests-mvp/subgraph-availability-oracle, nuthatch/obib-case2, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/10-vault_policy.sql:12 |
| TRY_CAST( | 2 | 1 | 1: nuthatch/obib-case2 | nuthatch/obib-case2/views/balances.sql:5 |
| :: cast | 41 | 7 | 5: graph-allocations-nest, graph-staking-nest, graph-tap-escrow-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | graph-allocations-nest/views/90-lodestar-indexers.sql:359 |
| HUGEINT | 307 | 14 | 3: graph-allocations-nest, nuthatch/obib-case2, perpl-nest | graph-allocations-nest/checks/indexer-daily-sums.sql:9 |
| UHUGEINT | 0 | 0 | 0:  |  |
| INT128 | 0 | 0 | 0:  |  |
| DECIMAL(p,s) | 5 | 4 | 3: graph-staking-nest, graph-tap-escrow-nest, nuthatch/obib-case2 | graph-staking-nest/views/20-delegation-aggregates.sql:6 |
| DECIMAL(38,0) | 5 | 4 | 3: graph-staking-nest, graph-tap-escrow-nest, nuthatch/obib-case2 | graph-staking-nest/views/20-delegation-aggregates.sql:6 |
| DECIMAL/NUMERIC bare | 0 | 0 | 0:  |  |
| BIGINT | 137 | 16 | 7: arcaidia-nest, graph-allocations-nest, graph-gns-nest, nests-mvp/subgraph-availability-oracle, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/10-vault_policy.sql:12 |
| UBIGINT | 0 | 0 | 0:  |  |
| INTEGER/INT | 18 | 8 | 7: graph-allocations-nest, graph-gns-nest, nests-mvp/subgraph-availability-oracle, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | graph-allocations-nest/views/90-lodestar-indexers.sql:173 |
| UINTEGER/USMALLINT/UTINYINT | 0 | 0 | 0:  |  |
| SMALLINT/TINYINT | 0 | 0 | 0:  |  |
| DOUBLE | 87 | 6 | 4: graph-allocations-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | graph-allocations-nest/views/90-lodestar-indexers.sql:359 |
| FLOAT/REAL | 0 | 0 | 0:  |  |
| VARCHAR/TEXT/STRING type | 101 | 18 | 8: epoch-block-oracle-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | epoch-block-oracle-nest/views/10-data-edge-messages.sql:5 |
| BLOB/BYTEA | 0 | 0 | 0:  |  |
| BOOLEAN/BOOL | 1 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/40-lodestar-allocations.sql:31 |
| TIMESTAMP type | 18 | 12 | 7: arcaidia-nest, epoch-block-oracle-nest, graph-allocations-nest, graph-staking-nest, graph-tap-escrow-nest, nests-mvp/subgraph-availability-oracle, qos-reo-nest-typed | arcaidia-nest/views/20-fills.sql:19 |
| TIMESTAMP WITH TIME ZONE | 0 | 0 | 0:  |  |
| DATE type | 1 | 1 | 1: perpl-nest | perpl-nest/views/10-perpl.sql:72 |
| UUID | 0 | 0 | 0:  |  |
| JSON type | 0 | 0 | 0:  |  |
| MAP/STRUCT/LIST type | 1 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/90-lodestar-indexers.sql:360 |
| ENUM | 0 | 0 | 0:  |  |
| // integer division | 24 | 11 | 4: graph-allocations-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | graph-allocations-nest/views/40-lodestar-allocations.sql:63 |
| / division | 74 | 13 | 8: arcaidia-nest, dips-nest, graph-allocations-nest, hackathon-nest, perpl-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/50-vaults.sql:18 |
| % modulo | 1 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/90-lodestar-indexers.sql:399 |
| power/pow/** | 9 | 1 | 1: perpl-nest | perpl-nest/views/10-perpl.sql:60 |
| abs( | 12 | 1 | 1: qos-reo-nest-typed | qos-reo-nest-typed/checks/parity-2026-09-07.sql:80 |
| round( | 0 | 0 | 0:  |  |
| floor( | 0 | 0 | 0:  |  |
| ceil( | 0 | 0 | 0:  |  |
| greatest( | 12 | 5 | 4: graph-allocations-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | graph-allocations-nest/views/90-lodestar-indexers.sql:139 |
| least( | 1 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/95-lodestar-deployments.sql:48 |
| sign( | 0 | 0 | 0:  |  |
| bit ops & | << >> xor | 4 | 3 | 3: qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | qos-reo-nest-typed/views/05-qos-publisher.sql:6 |
| unary minus (negation after ( or ,) | 50 | 9 | 3: arcaidia-nest, graph-allocations-nest, nuthatch/obib-case2 | arcaidia-nest/views/60-fee_snapshots.sql:8 |
| subtraction a - b | 76 | 17 | 6: arcaidia-nest, graph-allocations-nest, graph-gns-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/40-vault_flows.sql:21 |
| sum( | 214 | 25 | 11: arcaidia-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, hackathon-nest, nuthatch/obib-case2, perpl-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/40-vault_flows.sql:4 |
| count(*) | 61 | 26 | 12: arcaidia-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, hackathon-nest, nests-mvp/subgraph-availability-oracle, nuthatch/obib-case2, perpl-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/40-vault_flows.sql:6 |
| count(col) | 0 | 0 | 0:  |  |
| count(DISTINCT | 22 | 11 | 4: graph-allocations-nest, graph-gns-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | graph-allocations-nest/views/10-signal.sql:13 |
| avg( | 0 | 0 | 0:  |  |
| min( | 26 | 16 | 8: arcaidia-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/85-protocol_state.sql:20 |
| max( | 31 | 18 | 9: arcaidia-nest, dips-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, nests-mvp/subgraph-availability-oracle, nuthatch/obib-case2, qos-reo-nest-typed | arcaidia-nest/views/40-vault_flows.sql:11 |
| median( | 0 | 0 | 0:  |  |
| quantile*( | 0 | 0 | 0:  |  |
| approx_*( | 0 | 0 | 0:  |  |
| arg_max/max_by | 11 | 2 | 1: arcaidia-nest | arcaidia-nest/views/10-vault_policy.sql:26 |
| arg_min/min_by | 17 | 5 | 3: arcaidia-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/20-fills.sql:22 |
| string_agg/listagg/group_concat | 0 | 0 | 0:  |  |
| array_agg/list( | 1 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/90-lodestar-indexers.sql:360 |
| first(/last( aggregate | 0 | 0 | 0:  |  |
| bool_or/bool_and | 0 | 0 | 0:  |  |
| bit_or/bit_and agg | 0 | 0 | 0:  |  |
| histogram( | 0 | 0 | 0:  |  |
| mode( | 0 | 0 | 0:  |  |
| stddev/var/corr/regr | 0 | 0 | 0:  |  |
| product( | 0 | 0 | 0:  |  |
| favg/fsum | 0 | 0 | 0:  |  |
| row_number( | 17 | 7 | 5: graph-allocations-nest, graph-gns-nest, graph-tap-escrow-nest, nests-mvp/subgraph-availability-oracle, perpl-nest | graph-allocations-nest/views/40-lodestar-allocations.sql:22 |
| rank(/dense_rank( | 2 | 1 | 1: qos-reo-nest | qos-reo-nest/views/20-qos-rows.sql:11 |
| lag( | 1 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/50-lodestar-epochs.sql:348 |
| lead( | 2 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/50-lodestar-epochs.sql:340 |
| first_value( | 0 | 0 | 0:  |  |
| last_value( | 0 | 0 | 0:  |  |
| nth_value( | 0 | 0 | 0:  |  |
| ntile/percent_rank/cume_dist | 0 | 0 | 0:  |  |
| epoch_ms( | 0 | 0 | 0:  |  |
| epoch( | 0 | 0 | 0:  |  |
| to_timestamp( | 3 | 3 | 3: graph-gns-nest, graph-staking-nest, perpl-nest | graph-gns-nest/views/20-activity.sql:4 |
| make_timestamp( | 0 | 0 | 0:  |  |
| make_date( | 0 | 0 | 0:  |  |
| strftime( | 0 | 0 | 0:  |  |
| strptime( | 0 | 0 | 0:  |  |
| date_trunc( | 2 | 2 | 2: graph-gns-nest, graph-staking-nest | graph-gns-nest/views/20-activity.sql:4 |
| time_bucket( | 0 | 0 | 0:  |  |
| date_part( | 0 | 0 | 0:  |  |
| extract( | 0 | 0 | 0:  |  |
| date_diff/datediff( | 0 | 0 | 0:  |  |
| date_add/dateadd( | 0 | 0 | 0:  |  |
| age( | 0 | 0 | 0:  |  |
| now()/current_timestamp/current_date | 0 | 0 | 0:  |  |
| to_days/to_seconds/to_hours etc | 0 | 0 | 0:  |  |
| ::DATE / ::TIMESTAMP cast | 0 | 0 | 0:  |  |
| year(/month(/day(/hour(/dayofweek( | 0 | 0 | 0:  |  |
| timezone(/AT TIME ZONE | 0 | 0 | 0:  |  |
| lower( | 184 | 17 | 6: graph-allocations-nest, graph-gns-nest, nuthatch/obib-case2, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | graph-allocations-nest/checks/indexer-daily-sums.sql:6 |
| upper( | 0 | 0 | 0:  |  |
| substr/substring( | 15 | 6 | 3: graph-allocations-nest, qos-reo-nest, qos-reo-nest-typed | graph-allocations-nest/views/85-lodestar-params.sql:22 |
| left( | 0 | 0 | 0:  |  |
| right( | 0 | 0 | 0:  |  |
| length(/len( | 0 | 0 | 0:  |  |
| concat( | 0 | 0 | 0:  |  |
| concat_ws( | 0 | 0 | 0:  |  |
| || concat | 72 | 12 | 6: arcaidia-nest, epoch-block-oracle-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest | arcaidia-nest/views/20-fills.sql:4 |
| split_part( | 0 | 0 | 0:  |  |
| string_split/str_split/split( | 7 | 3 | 1: graph-allocations-nest | graph-allocations-nest/views/85-lodestar-params.sql:22 |
| replace( | 0 | 0 | 0:  |  |
| trim/ltrim/rtrim( | 0 | 0 | 0:  |  |
| starts_with/prefix( | 0 | 0 | 0:  |  |
| ends_with/suffix( | 0 | 0 | 0:  |  |
| contains( | 0 | 0 | 0:  |  |
| position/strpos/instr( | 7 | 3 | 1: graph-allocations-nest | graph-allocations-nest/views/85-lodestar-params.sql:21 |
